ab_id,batter_id,event,g_id,inning,o,p_score,p_throws,pitcher_id,stand,top
2015000930,425783,Lineout,201500014,2,2,2,R,543243,L,TRUE
2015000953,425783,Groundout,201500014,5,1,4,R,543243,L,TRUE
2015000972,425783,Strikeout,201500014,7,3,4,R,543243,L,TRUE
2015001520,425783,Double,201500022,2,0,0,R,534910,L,TRUE
2015001535,425783,Groundout,201500022,4,1,0,R,534910,L,TRUE
2015001547,425783,Groundout,201500022,5,3,0,R,534910,L,TRUE
2015001569,425783,Groundout,201500022,8,2,1,R,445926,L,TRUE
2015003221,425783,Single,201500045,1,0,0,R,608665,L,TRUE
2015003233,425783,Groundout,201500045,2,3,0,R,608665,L,TRUE
2015003248,425783,Home Run,201500045,4,1,0,R,608665,L,TRUE
2015003264,425783,Groundout,201500045,6,3,0,R,519267,L,TRUE
2015003282,425783,Strikeout,201500045,8,3,0,R,571439,L,TRUE
2015003691,425783,Strikeout,201500050,1,2,1,R,543521,L,FALSE
2015006032,425783,Hit By Pitch,201500080,8,2,4,R,430589,L,FALSE
2015006048,425783,Walk,201500080,10,2,4,L,448609,L,FALSE
2015006067,425783,Groundout,201500080,13,2,4,R,501789,L,FALSE
2015006982,425783,Strikeout,201500092,1,1,0,R,533167,L,FALSE
2015007000,425783,Flyout,201500092,3,1,0,R,533167,L,FALSE
2015007021,425783,Strikeout,201500092,5,2,5,R,533167,L,FALSE
2015007043,425783,Strikeout,201500092,8,1,5,R,501925,L,FALSE
2015008046,425783,Groundout,201500106,2,1,0,R,607968,L,FALSE
2015008059,425783,Single,201500106,3,1,0,R,607968,L,FALSE
2015008075,425783,Groundout,201500106,5,3,0,L,501625,L,FALSE
2015008092,425783,Strikeout,201500106,7,1,1,R,477569,L,FALSE
2015011622,425783,Flyout,201500154,1,3,0,L,457918,L,TRUE
2015011642,425783,Groundout,201500154,4,3,0,L,457918,L,TRUE
2015011661,425783,Lineout,201500154,7,1,0,L,457918,L,TRUE
2015011680,425783,Walk,201500154,9,0,1,R,608678,L,TRUE
2015012743,425783,Strikeout,201500169,1,3,0,R,433587,L,TRUE
2015012762,425783,Groundout,201500169,4,2,0,R,433587,L,TRUE
2015012783,425783,Flyout,201500169,6,2,2,R,433587,L,TRUE
2015012806,425783,Strikeout,201500169,9,2,3,R,407845,L,TRUE
2015013838,425783,Flyout,201500184,2,1,2,L,572020,L,TRUE
2015013851,425783,Groundout,201500184,3,1,2,L,572020,L,TRUE
2015013868,425783,Hit By Pitch,201500184,4,1,5,L,621397,L,TRUE
2015013886,425783,Single,201500184,6,1,5,L,621397,L,TRUE
2015013903,425783,Strikeout,201500184,8,2,6,R,608678,L,TRUE
2015015680,425783,Groundout,201500208,1,3,0,R,502624,L,TRUE
2015015702,425783,Strikeout,201500208,4,1,1,R,502624,L,TRUE
2015015723,425783,Groundout,201500208,7,1,1,R,502624,L,TRUE
2015015737,425783,Flyout,201500208,8,3,1,R,543339,L,TRUE
2015016803,425783,Hit By Pitch,201500223,1,2,0,R,605151,L,TRUE
2015016821,425783,Pop Out,201500223,3,3,2,R,605151,L,TRUE
2015016844,425783,Grounded Into DP,201500223,6,2,5,R,605151,L,TRUE
2015016867,425783,Walk,201500223,9,0,8,L,605177,L,TRUE
2015018682,425783,Strikeout,201500248,2,2,0,R,572070,L,TRUE
2015018702,425783,Groundout,201500248,4,1,0,R,572070,L,TRUE
2015018724,425783,Groundout,201500248,7,1,1,R,572070,L,TRUE
2015018741,425783,Walk,201500248,9,2,3,R,434718,L,TRUE
2015019682,425783,Walk,201500261,2,1,0,L,450351,L,TRUE
2015019697,425783,Flyout,201500261,4,2,0,L,450351,L,TRUE
2015019714,425783,Walk,201500261,6,1,0,L,450351,L,TRUE
2015019737,425783,Groundout,201500261,8,3,4,R,477569,L,TRUE
2015020738,425783,Field Error,201500275,2,2,0,L,502327,L,TRUE
2015020751,425783,Walk,201500275,3,2,0,L,502327,L,TRUE
2015020769,425783,Flyout,201500275,5,3,0,L,502327,L,TRUE
2015020793,425783,Hit By Pitch,201500275,8,1,2,R,573046,L,TRUE
2015020813,425783,Strikeout,201500275,10,1,3,L,501625,L,TRUE
2015020826,425783,Groundout,201500275,11,3,3,L,501625,L,TRUE
2015021591,425783,Strikeout,201500286,2,3,2,R,592836,L,FALSE
2015021606,425783,Groundout,201500286,4,3,2,R,592836,L,FALSE
2015021626,425783,Lineout,201500286,7,2,3,R,592836,L,FALSE
2015021641,425783,Strikeout,201500286,9,2,3,R,407845,L,FALSE
2015025366,425783,Strikeout,201500336,2,1,0,L,431148,L,FALSE
2015025383,425783,Double,201500336,4,1,0,L,431148,L,FALSE
2015025399,425783,Groundout,201500336,6,2,0,L,431148,L,FALSE
2015025422,425783,Strikeout,201500336,8,1,7,R,519267,L,FALSE
2015026447,425783,Lineout,201500351,1,3,1,L,519141,L,FALSE
2015026462,425783,Lineout,201500351,3,3,1,L,519141,L,FALSE
2015026482,425783,Strikeout,201500351,6,1,1,L,519141,L,FALSE
2015026500,425783,Home Run,201500351,7,2,7,L,472551,L,FALSE
2015026522,425783,Double,201500351,10,0,7,R,475857,L,FALSE
2015027615,425783,Walk,201500366,2,0,0,R,543243,L,FALSE
2015027633,425783,Double,201500366,4,0,0,R,543243,L,FALSE
2015027652,425783,Strikeout,201500366,6,1,2,R,543243,L,FALSE
2015027667,425783,Flyout,201500366,7,3,5,R,519096,L,FALSE
2015027685,425783,Sac Fly,201500366,9,2,7,R,571439,L,FALSE
2015028845,425783,Double,201500382,1,0,0,L,572971,L,TRUE
2015028862,425783,Strikeout,201500382,3,3,1,L,572971,L,TRUE
2015028882,425783,Groundout,201500382,6,2,1,L,572971,L,TRUE
2015028898,425783,Groundout,201500382,8,2,1,L,572971,L,TRUE
2015029846,425783,Double,201500396,1,0,0,R,444857,L,TRUE
2015029860,425783,Lineout,201500396,2,3,1,R,444857,L,TRUE
2015029878,425783,Strikeout,201500396,4,2,1,L,502087,L,TRUE
2015029893,425783,Groundout,201500396,6,3,1,L,502087,L,TRUE
2015029911,425783,Strikeout,201500396,9,3,1,L,491159,L,TRUE
2015031072,425783,Strikeout,201500412,1,1,0,R,465679,L,TRUE
2015031084,425783,Home Run,201500412,2,2,0,R,465679,L,TRUE
2015031101,425783,Strikeout,201500412,4,2,0,R,465679,L,TRUE
2015031114,425783,Strikeout,201500412,5,3,0,L,491159,L,TRUE
2015031133,425783,Groundout,201500412,8,1,0,R,501789,L,TRUE
2015031895,425783,Groundout,201500423,1,1,0,R,502042,L,TRUE
2015031907,425783,Walk,201500423,2,2,0,R,502042,L,TRUE
2015031923,425783,Strikeout,201500423,4,1,0,R,502042,L,TRUE
2015031943,425783,Double,201500423,6,2,3,R,541640,L,TRUE
2015031958,425783,Strikeout,201500423,8,3,3,R,457117,L,TRUE
2015032916,425783,Strikeout,201500437,1,1,0,R,501992,L,TRUE
2015032932,425783,Walk,201500437,3,1,1,R,501992,L,TRUE
2015032947,425783,Strikeout,201500437,5,3,1,R,501992,L,TRUE
2015032972,425783,Single,201500437,8,0,5,L,458584,L,TRUE
2015034111,425783,Walk,201500452,1,0,0,R,542882,L,TRUE
2015034130,425783,Pop Out,201500452,3,2,3,R,542882,L,TRUE
2015034143,425783,Groundout,201500452,4,3,3,R,460156,L,TRUE
2015034164,425783,Strikeout,201500452,6,3,6,R,571479,L,TRUE
2015034186,425783,Single,201500452,9,1,7,R,571479,L,TRUE
2015035235,425783,Strikeout,201500467,1,1,0,R,543606,L,TRUE
2015035250,425783,Double,201500467,3,1,0,R,543606,L,TRUE
2015035265,425783,Double,201500467,5,2,0,R,543606,L,TRUE
2015035283,425783,Groundout,201500467,7,3,1,L,458584,L,TRUE
2015035557,425783,Strikeout,201500471,1,1,0,L,518633,L,FALSE
2015035569,425783,Single,201500471,2,0,0,L,518633,L,FALSE
2015035586,425783,Single,201500471,4,0,1,L,518633,L,FALSE
2015035598,425783,Strikeout,201500471,5,3,1,R,464416,L,FALSE
2015035615,425783,Strikeout,201500471,7,2,1,R,464416,L,FALSE
2015036370,425783,Home Run,201500482,1,0,0,R,450172,L,FALSE
2015036388,425783,Groundout,201500482,3,1,1,R,450172,L,FALSE
2015036405,425783,Strikeout,201500482,5,1,1,R,450172,L,FALSE
2015036425,425783,Single,201500482,7,0,5,R,460024,L,FALSE
2015036438,425783,Runner Out,201500482,8,3,5,R,451584,L,FALSE
2015036445,425783,Single,201500482,9,0,6,R,518813,L,FALSE
2015037519,425783,Home Run,201500497,1,0,0,R,570649,L,FALSE
2015037532,425783,Single,201500497,2,0,0,R,570649,L,FALSE
2015037548,425783,Groundout,201500497,4,2,0,R,570649,L,FALSE
2015037570,425783,Groundout,201500497,7,1,2,R,570649,L,FALSE
2015038480,425783,Single,201500510,1,0,1,R,425386,L,FALSE
