px,pz,ab_id,pitch_type,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,event
0.14,1.59,2015000078.0,SI,2.0,2.0,1.0,7.0,0.0,0.0,0.0,Strikeout
-0.03,3.86,2015000118.0,FF,2.0,2.0,2.0,5.0,0.0,0.0,0.0,Groundout
-0.214,3.469,2015001067.0,FF,2.0,2.0,2.0,5.0,0.0,0.0,0.0,Groundout
0.366,3.708,2015001103.0,CH,3.0,2.0,0.0,6.0,0.0,0.0,0.0,Groundout
0.032,1.9909999999999999,2015001118.0,FT,2.0,0.0,2.0,3.0,0.0,1.0,0.0,Lineout
0.507,1.943,2015001596.0,FF,2.0,2.0,2.0,6.0,1.0,0.0,0.0,Flyout
0.318,1.854,2015001617.0,FS,1.0,1.0,1.0,3.0,0.0,0.0,0.0,Groundout
-0.377,2.1590000000000003,2015001635.0,SL,0.0,2.0,1.0,3.0,1.0,1.0,0.0,Strikeout
1.163,3.427,2015001654.0,FT,1.0,1.0,2.0,3.0,0.0,0.0,0.0,Flyout
1.278,1.463,2015003765.0,FT,2.0,2.0,2.0,5.0,0.0,0.0,0.0,Pop Out
-1.022,1.5590000000000002,2015003782.0,CH,2.0,2.0,2.0,5.0,1.0,1.0,0.0,Strikeout
0.898,3.1439999999999997,2015003803.0,CH,1.0,0.0,0.0,2.0,1.0,0.0,0.0,Grounded Into DP
-1.5919999999999999,2.891,2015003820.0,FF,1.0,2.0,1.0,5.0,1.0,0.0,0.0,Groundout
-0.516,2.251,2015004920.0,FC,1.0,1.0,0.0,3.0,1.0,0.0,0.0,Groundout
-0.009000000000000001,2.1069999999999998,2015004945.0,CU,0.0,1.0,0.0,2.0,0.0,0.0,0.0,Flyout
-0.218,2.556,2015004960.0,FC,1.0,2.0,2.0,4.0,1.0,0.0,0.0,Groundout
0.078,1.681,2015004982.0,FF,0.0,0.0,2.0,1.0,0.0,0.0,0.0,Flyout
-0.344,2.595,2015006110.0,FT,1.0,0.0,0.0,2.0,1.0,0.0,0.0,Flyout
-0.584,2.286,2015006980.0,FF,2.0,2.0,2.0,5.0,0.0,0.0,0.0,Flyout
-0.55,3.45,2015006999.0,FF,0.0,2.0,2.0,5.0,1.0,0.0,0.0,Flyout
-0.26,3.14,2015007015.0,SI,2.0,0.0,1.0,3.0,1.0,0.0,0.0,Flyout
0.457,2.335,2015007028.0,SL,0.0,0.0,2.0,1.0,1.0,1.0,1.0,Groundout
-0.19399999999999998,1.8780000000000001,2015008072.0,SL,1.0,2.0,2.0,5.0,0.0,0.0,0.0,Flyout
-0.07400000000000001,1.327,2015009005.0,FF,2.0,2.0,1.0,6.0,1.0,0.0,0.0,Pop Out
-0.995,3.194,2015009035.0,FF,1.0,2.0,1.0,4.0,1.0,0.0,0.0,Pop Out
-0.145,1.979,2015009068.0,CH,1.0,2.0,0.0,5.0,0.0,0.0,0.0,Groundout
0.5,1.79,2015010577.0,SL,2.0,1.0,2.0,4.0,0.0,0.0,0.0,Groundout
0.42,1.25,2015010616.0,CH,1.0,2.0,1.0,4.0,0.0,0.0,0.0,Groundout
-1.35,1.49,2015010634.0,SI,0.0,2.0,0.0,3.0,0.0,0.0,0.0,Strikeout
2.331,1.892,2015011690.0,CH,1.0,2.0,2.0,5.0,0.0,0.0,0.0,Strikeout
-0.644,2.4459999999999997,2015011711.0,FC,2.0,1.0,0.0,4.0,0.0,0.0,0.0,Groundout
1.003,2.8539999999999996,2015011728.0,FF,0.0,2.0,0.0,3.0,0.0,0.0,0.0,Strikeout
0.047,1.635,2015011747.0,SI,2.0,1.0,2.0,4.0,0.0,1.0,0.0,Flyout
0.833,1.568,2015012828.0,FC,2.0,1.0,2.0,4.0,1.0,1.0,0.0,Groundout
-0.59,2.282,2015012853.0,SI,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Flyout
0.322,1.9269999999999998,2015014457.0,FF,2.0,2.0,1.0,5.0,0.0,0.0,0.0,Flyout
0.841,1.6369999999999998,2015014475.0,FC,1.0,1.0,0.0,3.0,0.0,0.0,0.0,Groundout
-0.9620000000000001,1.551,2015015438.0,FF,2.0,2.0,1.0,7.0,1.0,0.0,0.0,Strikeout
1.004,2.405,2015015472.0,FT,0.0,2.0,0.0,3.0,0.0,0.0,0.0,Groundout
0.361,2.673,2015015484.0,FF,1.0,2.0,1.0,4.0,0.0,1.0,1.0,Strikeout
1.21,3.162,2015015496.0,FF,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Groundout
-0.32799999999999996,3.179,2015016576.0,FT,1.0,0.0,2.0,2.0,0.0,0.0,0.0,Pop Out
0.659,0.18600000000000003,2015016592.0,SL,2.0,2.0,1.0,5.0,1.0,1.0,1.0,Strikeout
0.353,2.377,2015016613.0,SL,1.0,2.0,1.0,4.0,0.0,0.0,0.0,Lineout
1.094,2.481,2015017585.0,FF,0.0,2.0,1.0,3.0,0.0,1.0,0.0,Flyout
0.731,2.028,2015017605.0,CH,1.0,2.0,0.0,5.0,0.0,0.0,0.0,Groundout
-0.348,2.596,2015018680.0,FT,1.0,0.0,2.0,2.0,0.0,0.0,0.0,Pop Out
-1.081,3.1660000000000004,2015018699.0,FF,1.0,2.0,1.0,4.0,1.0,1.0,0.0,Strikeout
0.591,2.227,2015018714.0,FT,1.0,1.0,0.0,3.0,1.0,0.0,0.0,Lineout
0.354,3.9930000000000003,2015018729.0,FF,2.0,2.0,1.0,5.0,0.0,1.0,0.0,Lineout
0.013999999999999999,2.7889999999999997,2015019679.0,SL,3.0,2.0,1.0,8.0,1.0,0.0,0.0,Double Play
-0.405,1.9580000000000002,2015019701.0,FF,3.0,2.0,1.0,6.0,1.0,0.0,0.0,Forceout
-0.83,2.505,2015020734.0,SL,3.0,1.0,2.0,5.0,0.0,0.0,0.0,Groundout
-1.476,2.888,2015020774.0,FT,0.0,1.0,2.0,2.0,1.0,1.0,0.0,Flyout
0.653,1.7690000000000001,2015020790.0,FF,0.0,2.0,1.0,3.0,0.0,0.0,0.0,Groundout
-0.21,2.23,2015021967.0,CU,0.0,1.0,1.0,2.0,0.0,0.0,0.0,Pop Out
1.21,2.22,2015021986.0,FF,1.0,2.0,1.0,4.0,0.0,0.0,0.0,Lineout
0.37,1.28,2015022007.0,FC,0.0,2.0,1.0,3.0,0.0,0.0,0.0,Strikeout
0.643,2.637,2015023032.0,CU,1.0,2.0,0.0,4.0,1.0,1.0,0.0,Groundout
0.32899999999999996,2.259,2015023049.0,SL,3.0,2.0,2.0,7.0,0.0,0.0,0.0,Groundout
-0.03,2.588,2015025862.0,SI,1.0,0.0,2.0,2.0,0.0,0.0,0.0,Lineout
