ab_id,batter_id,event,g_id,inning,o,p_score,p_throws,pitcher_id,stand,top
2015000078,405395,Strikeout,201500002,1,2,0,R,433587,R,TRUE
2015000100,405395,Walk,201500002,4,1,2,R,433587,R,TRUE
2015000118,405395,Groundout,201500002,6,3,4,R,433587,R,TRUE
2015000138,405395,Walk,201500002,9,0,4,R,407845,R,TRUE
2015001067,405395,Groundout,201500016,1,3,0,L,572020,R,TRUE
2015001088,405395,Double,201500016,4,1,0,L,572020,R,TRUE
2015001103,405395,Groundout,201500016,6,1,0,L,572020,R,TRUE
2015001118,405395,Lineout,201500016,8,3,0,R,500721,R,TRUE
2015001584,405395,Home Run,201500023,1,1,0,R,547874,R,TRUE
2015001596,405395,Flyout,201500023,2,3,0,R,547874,R,TRUE
2015001617,405395,Groundout,201500023,5,2,1,R,547874,R,TRUE
2015001635,405395,Strikeout,201500023,7,2,3,R,605476,R,TRUE
2015001654,405395,Flyout,201500023,9,3,3,R,543144,R,TRUE
2015003765,405395,Pop Out,201500051,1,3,1,L,450306,R,FALSE
2015003782,405395,Strikeout,201500051,3,3,1,L,450306,R,FALSE
2015003803,405395,Grounded Into DP,201500051,6,2,3,L,450306,R,FALSE
2015003820,405395,Groundout,201500051,8,2,3,R,516969,R,FALSE
2015004920,405395,Groundout,201500066,1,1,0,R,425386,R,FALSE
2015004945,405395,Flyout,201500066,4,1,5,R,425386,R,FALSE
2015004960,405395,Groundout,201500066,5,3,6,R,425386,R,FALSE
2015004982,405395,Flyout,201500066,8,3,6,R,451584,R,FALSE
2015006086,405395,Home Run,201500081,1,2,0,R,570649,R,FALSE
2015006110,405395,Flyout,201500081,4,1,4,R,570649,R,FALSE
2015006131,405395,Double,201500081,6,1,7,R,570649,R,FALSE
2015006980,405395,Flyout,201500092,1,3,0,L,446321,R,TRUE
2015006999,405395,Flyout,201500092,3,3,3,L,446321,R,TRUE
2015007015,405395,Flyout,201500092,5,2,3,L,446321,R,TRUE
2015007028,405395,Groundout,201500092,6,3,3,R,516935,R,TRUE
2015007048,405395,Walk,201500092,9,0,3,R,516935,R,TRUE
2015008034,405395,Walk,201500106,1,1,0,R,607259,R,TRUE
2015008055,405395,Walk,201500106,3,1,4,R,607259,R,TRUE
2015008072,405395,Flyout,201500106,5,3,4,R,607259,R,TRUE
2015009005,405395,Pop Out,201500119,1,2,0,R,519168,R,TRUE
2015009018,405395,Single,201500119,2,2,0,R,519168,R,TRUE
2015009035,405395,Pop Out,201500119,4,2,0,R,542914,R,TRUE
2015009052,405395,Single,201500119,6,1,1,R,542914,R,TRUE
2015009068,405395,Groundout,201500119,8,1,1,R,548337,R,TRUE
2015010577,405395,Groundout,201500140,1,3,0,R,433584,R,TRUE
2015010596,405395,Walk,201500140,4,1,0,R,433584,R,TRUE
2015010616,405395,Groundout,201500140,6,2,1,R,433584,R,TRUE
2015010634,405395,Strikeout,201500140,8,1,3,R,430589,R,TRUE
2015011690,405395,Strikeout,201500155,1,3,0,L,572971,R,TRUE
2015011711,405395,Groundout,201500155,4,1,0,L,572971,R,TRUE
2015011728,405395,Strikeout,201500155,6,1,0,L,572971,R,TRUE
2015011747,405395,Flyout,201500155,8,3,4,R,450212,R,TRUE
2015012810,405395,Single,201500170,1,2,0,R,444857,R,TRUE
2015012828,405395,Groundout,201500170,3,3,0,R,444857,R,TRUE
2015012853,405395,Flyout,201500170,6,1,4,R,444857,R,TRUE
2015012870,405395,Home Run,201500170,8,2,4,R,450212,R,TRUE
2015014420,405395,Single,201500192,1,1,1,R,608665,R,FALSE
2015014440,405395,Single,201500192,3,1,4,R,608665,R,FALSE
2015014457,405395,Flyout,201500192,5,2,5,R,519096,R,FALSE
2015014475,405395,Groundout,201500192,8,1,5,R,519267,R,FALSE
2015015438,405395,Strikeout,201500205,1,2,0,L,519141,R,FALSE
2015015452,405395,Field Error,201500205,2,2,0,L,519141,R,FALSE
2015015472,405395,Groundout,201500205,5,1,1,L,519141,R,FALSE
2015015484,405395,Strikeout,201500205,6,2,1,R,571439,R,FALSE
2015015496,405395,Groundout,201500205,7,1,1,L,472551,R,FALSE
2015016576,405395,Pop Out,201500220,1,3,1,R,543243,R,FALSE
2015016592,405395,Strikeout,201500220,3,2,1,R,543243,R,FALSE
2015016613,405395,Lineout,201500220,6,2,1,R,543243,R,FALSE
2015016642,405395,Single,201500220,9,1,9,R,504186,R,FALSE
2015017568,405395,Walk,201500233,1,2,0,R,445926,R,FALSE
2015017585,405395,Flyout,201500233,3,2,0,R,445926,R,FALSE
2015017605,405395,Groundout,201500233,6,1,0,R,445926,R,FALSE
2015018680,405395,Pop Out,201500248,1,3,0,L,434643,R,FALSE
2015018699,405395,Strikeout,201500248,3,2,2,L,434643,R,FALSE
2015018714,405395,Lineout,201500248,5,1,2,L,434643,R,FALSE
2015018729,405395,Lineout,201500248,7,2,2,R,605309,R,FALSE
2015019679,405395,Double Play,201500261,1,3,0,R,407890,R,FALSE
2015019701,405395,Forceout,201500261,4,2,1,R,407890,R,FALSE
2015019720,405395,Single,201500261,6,1,1,R,542669,R,FALSE
2015019733,405395,Walk,201500261,7,2,1,R,489294,R,FALSE
2015020734,405395,Groundout,201500275,1,3,0,R,607259,R,FALSE
2015020757,405395,Hit By Pitch,201500275,3,2,2,R,607259,R,FALSE
2015020774,405395,Flyout,201500275,5,3,2,R,607259,R,FALSE
2015020790,405395,Groundout,201500275,7,2,2,R,542914,R,FALSE
2015020809,405395,Single,201500275,9,0,3,R,605309,R,FALSE
2015020828,405395,Double,201500275,11,1,5,R,491703,R,FALSE
2015021947,405395,Single,201500291,1,1,0,R,543243,R,TRUE
2015021967,405395,Pop Out,201500291,3,2,5,R,543243,R,TRUE
2015021986,405395,Lineout,201500291,6,2,5,R,543243,R,TRUE
2015022007,405395,Strikeout,201500291,9,2,6,R,519267,R,TRUE
2015023032,405395,Groundout,201500305,1,1,0,R,534910,R,TRUE
2015023049,405395,Groundout,201500305,3,3,0,R,534910,R,TRUE
2015023070,405395,Single,201500305,6,0,1,R,519096,R,TRUE
2015025862,405395,Lineout,201500343,1,3,0,R,218596,R,TRUE
2015025886,405395,Groundout,201500343,4,2,2,R,218596,R,TRUE
2015025910,405395,Home Run,201500343,7,1,4,R,218596,R,TRUE
2015025927,405395,Strikeout,201500343,9,2,5,R,489265,R,TRUE
2015026988,405395,Single,201500358,1,2,0,R,453311,R,TRUE
2015027013,405395,Groundout,201500358,4,1,3,R,453311,R,TRUE
2015027031,405395,Groundout,201500358,6,2,5,R,453311,R,TRUE
2015027051,405395,Strikeout,201500358,9,2,5,R,466948,R,TRUE
2015028706,405395,Single,201500380,1,2,0,R,433587,R,FALSE
2015028726,405395,Single,201500380,4,0,0,R,433587,R,FALSE
2015028742,405395,Double Play,201500380,6,2,0,R,433587,R,FALSE
2015028760,405395,Groundout,201500380,8,3,3,R,605476,R,FALSE
2015029712,405395,Home Run,201500394,1,1,0,L,572020,R,FALSE
2015029730,405395,Groundout,201500394,3,2,1,L,572020,R,FALSE
2015029746,405395,Intent Walk,201500394,5,2,1,L,572020,R,FALSE
2015029771,405395,Single,201500394,8,1,4,R,543144,R,FALSE
2015030926,405395,Groundout,201500410,1,3,0,L,606273,R,FALSE
2015030942,405395,Groundout,201500410,3,2,0,L,606273,R,FALSE
2015030964,405395,Single,201500410,6,0,2,L,606273,R,FALSE
2015030980,405395,Groundout,201500410,8,3,2,R,450275,R,FALSE
2015031521,405395,Lineout,201500418,1,2,0,R,543521,R,FALSE
